,title,id,all
640,The Mask of Zorro,9342,martincampbell antoniobanderas anthonyhopkins catherinezeta-jones stuartwilson diegosieres action adventure california spy hero horsebackriding swordfight revenge
641,Due Date,41733,toddphillips robertdowneyjr. zachgalifianakis michellemonaghan jamiefoxx juliettelewis comedy drama highway slacker hitchhiker wallet sunglasses reststop vicodin waffle
642,Unbroken,227306,angelinajolie jacko'connell domhnallgleeson garretthedlund miyavi finnwittrock drama war worldwarii prisonersofwar biography sport war athlete womandirector olympicathlete
643,Space Cowboys,5551,clinteastwood clinteastwood tommyleejones donaldsutherland jamesgarner jamescromwell action adventure thriller nasa spacetravel astronaut elderly
644,Cliffhanger,9350,rennyharlin sylvesterstallone johnlithgow michaelrooker janineturner rexlinn action adventure thriller rockymountains airplane hijacking suitcase climbing heist money snow mountainclimbing mountain
645,Broken Arrow,9208,johnwoo johntravolta christianslater samanthamathis delroylindo bobgunton action adventure drama thriller helicopter river captain underground mexicanstandoff countdown pilot fistfight canyon major betrayal gunfight train explosion parkranger desert military nucleardevice boxing stealthaircraft abandonedmine humvee
646,The Kid,4244,jonturteltaub brucewillis spencerbreslin emilymortimer lilytomlin chimcbride fantasy comedy family agedifference midlifecrisis suppressedpast self-awareness childhoodmemory humor changingthepastorfuture
647,World Trade Center,1852,oliverstone nicolascage mariabello maggiegyllenhaal michaelpeña jayhernandez drama history thriller terror runaway alarmclock hero firemen fireengine waronterror rescue marine hospital trapped rubble rescueteam
648,Mona Lisa Smile,11820,mikenewell juliaroberts kirstendunst juliastiles maggiegyllenhaal ginnifergoodwin drama romance faculty arthistory rowing schoolnurse femininity teacherhero womensissues
649,The Dictator,76493,larrycharles sachabaroncohen sayedbadreya aasifmandvi meganfox annafaris comedy kurdish
650,Eyes Wide Shut,345,stanleykubrick tomcruise nicolekidman madisoneginton jackiesawiris sydneypollack mystery drama lifeanddeath sexualobsession freelove heterosexual christmasparty eroticism orgy maskedball marijuana illegalprostitution
651,Annie,196867,willgluck quvenzhanéwallis jamiefoxx rosebyrne camerondiaz bobbycannavale comedy drama family musical orphan fosterchild
652,Focus,256591,glennficarra willsmith margotrobbie rodrigosantoro roberttaylor geraldmcraney romance comedy crime drama seduction conman femmefatale deception rivalry conartist
653,This Means War,59962,mcg reesewitherspoon chrispine tomhardy lauravandervoort angelabassett action comedy romance lovetriangle friendship dating sushibar explodingairplane onlinedating stable karateclass dogshelter
654,Blade: Trinity,36648,davids.goyer wesleysnipes kriskristofferson dominicpurcell jessicabiel ryanreynolds sciencefiction action horror thriller adventure fantasy fbi dracula fistfight vampirehunter superhero basedoncomicbook martialartsmaster motorcycle katanasword blade lossoffriend supervillain vampireslayer fastmotionscene femalevampire
655,Red Dawn,1880,johnmilius patrickswayze c.thomashowell leathompson darrendalton charliesheen action thriller guerrilla colorado invasion anti-communism nearfuture redarmy
656,Primary Colors,9440,mikenichols johntravolta emmathompson billybobthornton kathybates adrianlester comedy drama whitehouse usapresident presidentialelection scandal georgew.bush extramaritalaffair
657,Resident Evil: Retribution,71679,paulw.s.anderson millajovovich siennaguillory michellerodriguez aryanaengineer libingbing action horror sciencefiction mutant dystopia sequel conspiracy tokyojapan zombie basedonvideogame moscow handtohandcombat virus plague pandemic megacorporation
658,Death Race,10483,paulw.s.anderson jasonstatham joanallen ianmcshane tyresegibson nataliemartinez action thriller sciencefiction carrace dystopia matteroflifeanddeath prisonguard carsetonfire escapefromprison explodingbuilding vehiclecombat carcrash violence
659,The Long Kiss Goodnight,11412,rennyharlin geenadavis samuell.jackson yvonnezima craigbierko tomamandes crime action mystery thriller assassination amnesia hostage chase darkcomedy teacher escape singlemother timebomb candlelightvigil rogueagent streetshootout exciaagent christmasparade
660,Proof of Life,11983,taylorhackford megryan russellcrowe davidmorse pamelareed davidcaruso action adventure drama romance thriller hostage newlove suspense agent
661,Zathura: A Space Adventure,6795,jonfavreau jonahbobo joshhutcherson daxshepard kristenstewart timrobbins family fantasy sciencefiction adventure adventure house alien giantrobot outerspace astronaut
662,Fight Club,550,davidfincher edwardnorton bradpitt meatloaf jaredleto helenabonhamcarter drama supportgroup dualidentity nihilism rageandhate insomnia dystopia violence
663,We Are Marshall,11170,mcg matthewmcconaughey matthewfox anthonymackie davidstrathairn ianmcshane drama americanfootball 1970s trainer college sport
664,Hudson Hawk,9292,michaellehmann brucewillis dannyaiello andiemacdowell jamescoburn richarde.grant action adventure comedy vatican leonardodavinci painting masterthief
665,Lucky Numbers,10783,noraephron johntravolta lisakudrow timroth edo'neill michaelrapaport action adventure comedy crime romance thriller weatherforecast tvstation weather lottery wettermann debt womandirector
666,"I, Frankenstein",100241,stuartbeattie aaroneckhart yvonnestrahovski billnighy jaicourtney mirandaotto horror thriller soul queen antihero fantasy prince supernatural frankenstein goodvsevil gargoyles fighting demon dark imax 3d
667,Oliver Twist,257,romanpolanski barneyclark benkingsley jamieforeman harryeden edwardhardwicke crime drama family londonengland childabuse streetgang runaway childlabour children'shome orphanage thief violence goodandbad child
668,Elektra,9947,robbowman jennifergarner goranvisnjic willyunlee cary-hiroyukitagawa terencestamp action fantasy martialarts basedoncomicbook femaleassassin spinoff
669,Sin City: A Dame to Kill For,189,robertrodriguez mickeyrourke jessicaalba joshbrolin josephgordon-levitt rosariodawson crime thriller detective dystopia dominatrix murder suspense twins basedongraphicnovel darkhorsecomics neo-noir 3d
670,Random Hearts,12618,sydneypollack harrisonford kristinscottthomas charless.dutton bonniehunt dennishaysbert drama romance infidelity politician airplanecrash death deathofhusband policesergeant deathofwife
671,Everest,253412,baltasarkormákur jasonclarke jakegyllenhaal joshbrolin johnhawkes samworthington adventure drama mountains snowstorm hiking climbing snow death blizzard mountainclimbing basedontrueevents mounteverest 3d
672,Perfume: The Story of a Murderer,1427,tomtykwer benwhishaw simonchandler davidcalder richardfelix birgitminichmayr crime fantasy drama paris femalenudity prostitute smalltown obsession orgy badsmell nudity lonewolf lavender nose childprodigy fishmarket daughter supernatural genius children'shome death perfume
673,Austin Powers in Goldmember,818,jayroach mikemyers beyoncéknowles sethgreen michaelyork mindysterling comedy crime sciencefiction savingtheworld submarine brotherbrotherrelationship clone spy helicopter gold submachinegun asteroid undercover belgium dutch carjourney nightclub laser sumoringer familyhistory auto clowning overweightman conciliation jamesbondspoof duringcreditsstinger
674,Astro Boy,16577,davidbowers nicolascage kristenbell billnighy donaldsutherland freddiehighmore animation action family sciencefiction superhero
675,Jurassic Park,329,stevenspielberg samneill lauradern jeffgoldblum richardattenborough bobpeck adventure sciencefiction exoticisland dna paleontology tyrannosaurusrex triceratops brontosaurus electricfence island dinosaur amusementpark themepark jurassicpark
676,Wyatt Earp,12160,lawrencekasdan kevincostner dennisquaid genehackman davidandrews lindenashby drama action western gunslinger gambling sheriff deputysheriff wretch wyattearp historicalfigure docholliday
677,Clear and Present Danger,9331,phillipnoyce harrisonford willemdafoe annearcher joaquimdealmeida henryczerny action drama thriller assassination spy ambush cia helicopter basedonnovel usapresident sniper fbi colombia drugtraffic bomber missionofmurder mercenary insurgence coastguard spying war carbomb drugcartel conspiracy shootout infantry violence jackryan politicalcover-up
678,Dragon Blade,300168,daniellee jackiechan johncusack adrienbrody sharnivinson bennyurquidez action drama adventure 
679,Little Man,9072,keenenivorywayans marlonwayans shawnwayans kerrywashington johnwitherspoon tracymorgan comedy crime baby adoption marriedcouple smallperson criminal
680,U-571,3536,jonathanmostow matthewmcconaughey billpaxton harveykeitel jonbonjovi davidkeith action drama thriller war submarine worldwarii northatlantic mission
681,The American President,9087,robreiner michaeldouglas annettebening michaelj.fox martinsheen annadeaveresmith comedy drama romance whitehouse usapresident newlove widower wildlifeconservation
682,The Love Guru,12177,marcoschnabel mikemyers jessicaalba justintimberlake romanymalco meagangood comedy romance sport icehockey guru comedy bollywood india spiritualist brokenheart self-help stanleycup chastity ashram expert
683,3000 Miles to Graceland,12138,demianlichtenstein kurtrussell kevincostner courteneycox christianslater kevinpollak action adventure comedy thriller crime casino submachinegun hold-uprobbery elvis referencetoelvispresley duringcreditsstinger
684,The Hateful Eight,273248,quentintarantino samuell.jackson kurtrussell jenniferjasonleigh waltongoggins demiánbichir crime drama mystery western bountyhunter wyoming mountains narration hangman stagecoach blizzard postcivilwar
685,Blades of Glory,9955,joshgordon willferrell jonheder willarnett amypoehler jennafischer action comedy drama competition olympicgames sport rivalry iceskating
686,Hop,50359,timhill russellbrand jamesmarsden kaleycuoco hankazaria elizabethperkins animation comedy family coupd'etat slacker easter easterbunny aftercreditsstinger liveactionandanimation
687,300,1271,zacksnyder gerardbutler lenaheadey dominicwest davidwenham vincentregan action adventure war evisceration javelin shield army fallfromheight ancientworld s.a.t. minions
688,Meet the Fockers,693,jayroach benstiller teripolo robertdeniro dustinhoffman barbrastreisand comedy romance cia parentskidsrelationship florida anti-authoritarianupbringing jew parents-in-law orderly justmarried sextherapy badfather-in-law family illegitimateson
689,Marley & Me,14306,davidfrankel owenwilson jenniferaniston ericdane kathleenturner alanarkin comedy family journalist basedonnovel puppy dog duringcreditsstinger columnist animallead
690,The Green Mile,497,frankdarabont tomhanks michaelclarkeduncan davidmorse bonniehunt jamescromwell fantasy drama crime southernusa blackpeople mentallydisabled basedonnovel heal deathrow jailguard greatdepression prisonguard electricchair magicrealism healing deathrowinmate 1930s
691,Wild Hogs,11199,waltbecker timallen johntravolta martinlawrence williamh.macy rayliotta action adventure comedy midlifecrisis roadtrip politicallyincorrect motorcyclegang bikerfilm awkwardness travelwriter middleage middleagedman
692,Chicken Little,9982,markdindal zachbraff joancusack danmolina stevezahn garrymarshall animation family comedy fish smalltown spacemarine chicken alien bestfriend alieninvasion animal duringcreditsstinger 3d
693,Gone Girl,210577,davidfincher benaffleck rosamundpike carriecoon neilpatrickharris tylerperry mystery thriller drama basedonnovel marriagecrisis disappearance cheatinghusband missingperson searchparty criminallawyer wifemurder murdersuspect missingwife
694,The Bourne Identity,2501,dougliman mattdamon frankapotente chriscooper cliveowen briancox action drama mystery thriller paris barcelonaspain assassin basedonnovel secretidentity amnesia sniper passport missionofmurder lovers escape shootout footchase cellphone carchase multipleidentities surveillancecamera hamburggermany fishingboat langleyvirginia safedepositbox flashback handtohandcombat
695,GoldenEye,710,martincampbell piercebrosnan seanbean izabellascorupco famkejanssen joedonbaker adventure action thriller cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy
696,The General's Daughter,2275,simonwest johntravolta madeleinestowe jamescromwell timothyhutton lesliestefanson crime drama mystery thriller suicide detective basedonnovel bondage general paranoia nudity u.s.army investigation politics cover-up murder betrayal conspiracy gangrape fatherdaughterrelationship videotape militarylaw
697,The Truman Show,37165,peterweir jimcarrey lauralinney noahemmerich nataschamcelhone edharris comedy drama claustrophobia hiddencamera dystopia realityshow makebelieve pretend
698,The Prince of Egypt,9837,simonwells valkilmer ralphfiennes patrickstewart michellepfeiffer sandrabullock adventure animation drama family music moses egypt pyramid exodus kingdom governance ancientegypt hebrew pharaoh womandirector
699,Daddy Day Care,10708,stevecarr eddiemurphy jeffgarlin stevezahn reginaking kevinnealon comedy family competition success kindergarten children unemployment
700,2 Guns,136400,baltasarkormákur denzelwashington markwahlberg paulapatton billpaxton fredward action comedy crime undercover undercoveragent basedoncomicbook money fugitive bankrobbery deaagent
701,Cats & Dogs,10992,lawrenceguterman jeffgoldblum elizabethperkins alexanderpollock miriammargolyes tobeymaguire comedy family fight governance puppy allergy 3d
702,The Italian Job,9654,f.garygray markwahlberg charlizetheron edwardnorton sethgreen jasonstatham action crime venice california trainstation helicopter austria mountains gold subway hacker chase safe remake caper revenge murder heist doublecrossed fastcars boatchase losangeles explosion convict fatherdaughterrelationship carchase tvnews hollywoodsign televisionrepair minicooper
703,Two Weeks Notice,2642,marclawrence sandrabullock hughgrant aliciawitt danaivey robertklein romance comedy newyork parishhall romanticcomedy lawyer billionaire environmentallaw
704,Antz,8916,ericdarnell woodyallen danaykroyd annebancroft dannyglover genehackman adventure animation comedy family general hero worker ant work assignment war princess soldier individuality friend
705,Couples Retreat,19899,peterbillingsley vincevaughn malinåkerman jasonbateman kristenbell jonfavreau comedy romance island marriedcouple yoga tahiti couplestherapy beautifulwoman tropical aftercreditsstinger duringcreditsstinger frenchpolynesia polynésiefrançaise
706,Days of Thunder,2119,tonyscott tomcruise robertduvall nicolekidman randyquaid caryelwes adventure stock-car-race daytona carcrash
707,Cheaper by the Dozen 2,9641,adamshankman stevemartin eugenelevy bonniehunt tomwelling jonathanbennett comedy holiday lake bigfamily father laborpain rivalry familyholiday
708,Maze Runner: The Scorch Trials,294254,wesball dylano'brien kayascodelario thomasbrodie-sangster giancarloesposito aidangillen action basedonnovel resistance maze post-apocalyptic dystopia infection ontherun escape zombie storm disease desert sewer antidote corporation virus runner cityruin immunity
709,Eat Pray Love,38167,ryanmurphy juliaroberts jamesfranco javierbardem billycrudup richardjenkins drama indonesia femaleprotagonist india divorce bali
710,The Family Man,5994,brettratner nicolascage téaleoni doncheadle saulrubinek ambervalletta comedy drama romance fantasy workaholic secondchance guardianangel christmas careervsfamily lifereprioritizing
711,RED,39514,robertschwentke brucewillis johnmalkovich helenmirren mary-louiseparker karlurban action adventure comedy crime thriller cia retirement shottodeath sniperrifle retired femalespy alarm
712,Any Given Sunday,9563,oliverstone alpacino camerondiaz dennisquaid jameswoods jamiefoxx drama americanfootball trainer training americanfootballcoach sport americanfootballstadium
713,The Horse Whisperer,547,robertredford robertredford kristinscottthomas samneill scarlettjohansson diannewiest drama romance lovetriangle newyork montana attachmenttonature confidence horsebackriding horse ridingaccident careerwoman ranch horsewhisperer trauma countrylife marriagecrisis crisis travel motherdaughterrelationship animal nature
714,Collateral,1538,michaelmann tomcruise jamiefoxx jadapinkettsmith markruffalo peterberg drama crime thriller california taxi assassin hostage taxidriver fbi hitman police losangeles murderer crime criminal gunviolence
715,The Scorpion King,9334,chuckrussell dwaynejohnson kellyhu michaelclarkeduncan stevenbrand bernardhill action fantasy adventure egypt temple
716,Ladder 49,11128,jayrussell joaquinphoenix johntravolta jacindabarrett robertpatrick morrischestnut drama action thriller ledge practicaljoke
717,Jack Reacher,75780,christophermcquarrie tomcruise rosamundpike richardjenkins davidoyelowo wernerherzog crime drama thriller basedonnovel sniper investigation police quarry
718,Deep Blue Sea,8914,rennyharlin thomasjane saffronburrows llcoolj michaelrapaport samuell.jackson action sciencefiction thriller sharkattack shark alzheimer'sdisease killershark noopeningcredits
719,This Is It,13576,kennyortega michaeljackson orianthi kennyortega dorianholley patrickwoodroffe music documentary popstar music concert aftercreditsstinger duringcreditsstinger
720,Contagion,39538,stevensoderbergh mattdamon gwynethpaltrow katewinslet judelaw marioncotillard drama thriller sciencefiction savingtheworld mutation infection terminalillness quarantine outbreak medical vaccine lethalvirus scientist epidemic
721,Kangaroo Jack,10628,davidmcnally jerryo'connell anthonyanderson estellawarren christopherwalken michaelshannon comedy adventure crime moneydelivery fool australia hoodlum kangaroo
722,Coraline,14836,henryselick dakotafanning terihatcher jennifersaunders dawnfrench keithdavid animation family dream eye stuffedanimal parallelworld button newhome secretdoor aftercreditsstinger duringcreditsstinger
723,The Happening,8645,m.nightshyamalan markwahlberg zooeydeschanel johnleguizamo spencerbreslin bettybuckley thriller sciencefiction tree naturaldisaster crisis park strangebehavior
724,Man on Fire,9509,tonyscott denzelwashington dakotafanning marcanthony radhamitchell christopherwalken action drama thriller crime mexico cia kidnapping diary bible bodyguard stuffedanimal cellphone alcoholic grenadelauncher bloodshed swimmeet
725,The Shaggy Dog,10067,brianrobbins timallen kristindavis dannyglover spencerbreslin robertdowneyjr. comedy family fathersonrelationship parentskidsrelationship workaholic wifehusbandrelationship transformation bodyexchange daughter lawyer dog family turnsintoanimal
726,Starsky & Hutch,9384,toddphillips benstiller owenwilson snoopdogg fredwilliamson vincevaughn comedy crime informant jumpingfromarooftop surveillancefootage
727,Jingle All the Way,9279,brianlevant arnoldschwarzenegger philhartman sinbad ritawilson jakelloyd family comedy holiday christmasparty santaclaus toy puppet christmas turboman navidad
728,Hellboy,1487,guillermodeltoro ronperlman selmablair rupertevans johnhurt jeffreytambor fantasy action sciencefiction blackmagic fistfight cover-up superhero paranormalphenomena narrationfromgrave demon occult combatphotography reanimatedcorpse duringcreditsstinger
729,A Civil Action,9422,stevenzaillian johntravolta robertduvall tonyshalhoub williamh.macy zeljkoivanek drama success advancement rightandjustice leukemia lawyer businessstart-up
730,ParaNorman,77174,samfell kodismit-mcphee tuckeralbrizzi jodelleferland annakendrick caseyaffleck family animation adventure comedy medium stopmotion curse jock ghost communicatingwiththedead aftercreditsstinger dealingwiththepast witchtrial childwitch empathy strange
731,The Jackal,4824,michaelcaton-jones brucewillis richardgere sidneypoitier dianevenora j.k.simmons action thriller adventure crime fbi coldwar hitman
732,Paycheck,9620,johnwoo benaffleck aaroneckhart umathurman paulgiamatti colmfeore action adventure mystery sciencefiction thriller prophecy engineer scientist millionaire
733,Up Close & Personal,9302,jonavnet robertredford michellepfeiffer stockardchanning joemantegna katenelligan drama romance miami television career vitaminb reporter
734,The Tale of Despereaux,10199,robertstevenhagen matthewbroderick dustinhoffman emmawatson traceyullman kevinkline adventure animation family loyalty totalitarianregime mouse forgiveness honor unlikelyfriendship courage chivalry animallead
735,The Tuxedo,10771,kevindonovan jackiechan jenniferlovehewitt jasonisaacs debimazar ritchiecoster thriller action comedy sciencefiction bomb intelligence chauffeur wound secretagent headinjury
736,Under Siege 2: Dark Territory,3512,geoffmurphy stevenseagal ericbogosian everettmcgill katherineheigl morrischestnut action thriller terrorist pentagon satellite navyseal train
737,Jack Ryan: Shadow Recruit,137094,kennethbranagh chrispine keiraknightley kevincostner kennethbranagh lennkudrjawizki action drama thriller londonengland corruption cia terrorist sniper explosive intelligence russia murder conspiracy surveillance agent jackryan u.s.marine rehab analyst
738,Joy,274479,davido.russell jenniferlawrence bradleycooper robertdeniro daschapolanco edgarramírez drama comedy factory inventor strongwoman biography basedontruestory stolenpatent
739,London Has Fallen,267860,babaknajafi gerardbutler aaroneckhart morganfreeman angelabassett melissaleo action crime thriller londonengland terrorist terroristattack
740,Alien: Resurrection,8078,jean-pierrejeunet sigourneyweaver winonaryder braddourif ronperlman michaelwincott sciencefiction horror action android mercenary dystopia sequel alien betrayal impalement cloning scientist flamethrower disembowelment smuggler genemanipulation maninwheelchair breeding geneticengineering regeneration xenomorph alienqueen explosivedecompression swimmingunderwater
741,Shooter,7485,antoinefuqua markwahlberg michaelpeña dannyglover katemara eliaskoteas action drama mystery thriller crime corruption sniper senator conspiracyofmurder childlessness rifle sniperrifle fbiagent
742,The Boxtrolls,170687,anthonystacchi benkingsley isaachempstead-wright ellefanning deebradleybaker tonicollette animation comedy family fantasy basedonnovel stopmotion fatherdaughterrelationship unlikelyfriendship duringcreditsstinger
743,Practical Magic,6435,griffindunne sandrabullock nicolekidman evanrachelwood goranvisnjic stockardchanning drama fantasy comedy witch magic sorcery love curse familycurse
744,The Lego Movie,137106,phillord chrispratt willferrell elizabethbanks willarnett nickofferman adventure animation comedy family fantasy fathersonrelationship creativity friendship partliveaction toys basedontoy fallinginlove superpowers duringcreditsstinger differentworlds lego batman
745,Miss Congeniality 2: Armed and Fabulous,10040,johnpasquin sandrabullock reginaking enriquemurciano williamshatner eileenbrennan action comedy ransom pressconference ship missamerica fbiagent
746,Reign of Fire,6278,robbowman christianbale matthewmcconaughey izabellascorupco gerardbutler alexandersiddig adventure action fantasy dragon evolution firechief animatedmap theatreaudience dragonslayer tunnelconstruction firerepellent drilling iodine
747,Gangster Squad,82682,rubenfleischer joshbrolin ryangosling nicknolte emmastone seanpenn crime drama action thriller losangeles gangster
748,Year One,17610,haroldramis jackblack michaelcera oliviawilde oliverplatt davidcross comedy adventure temple slavery stoneage circumcision hebrews cavemen prehistoricadventure duringcreditsstinger prehistorictimes prehistoricman
749,Invictus,22954,clinteastwood morganfreeman mattdamon tonykgoroge patrickmofokeng mattstern drama history stadium southafrica apartheid nelsonmandela sport nation rugby president racism poverty celebration duringcreditsstinger
750,State of Play,16995,kevinmacdonald russellcrowe benaffleck rachelmcadams robinwright jasonbateman action corruption assassination detective journalist assassin newspaper congress editor-in-chief conspiracyofmurder politics electioncampaign government murder thriller blog reporter
751,Duplicity,16558,tonygilroy cliveowen juliaroberts paulgiamatti tomwilkinson lisarobertsgillan romance comedy crime spy
752,My Favorite Martian,9849,donaldpetrie jeffdaniels elizabethhurley darylhannah christopherlloyd wallaceshawn comedy drama family sciencefiction alien martian basedontvseries fishoutofwater
753,The Sentinel,5820,clarkjohnson michaeldouglas kiefersutherland evalongoria martindonovan kimbasinger action thriller crime usapresident agent
754,Planet 51,16866,jorgeblanco dwaynejohnson seannwilliamscott jessicabiel justinlong garyoldman sciencefiction animation family comedy adventure flyingsaucer alienlife-form spaceship alien alienplanet planet duringcreditsstinger
755,Star Trek: Nemesis,201,stuartbaird patrickstewart jonathanfrakes brentspiner levarburton michaeldorn sciencefiction action adventure thriller clone assassination ambush federation starfleet enterprise-e romulus android senate selfsacrifice telepathy weapon romulans spaceopera
756,Intolerable Cruelty,11775,joelcoen georgeclooney catherinezeta-jones edwardherrmann geoffreyrush richardjenkins crime comedy romance california assassin infidelity fetish hitman tycoon court satire lawyer inheritance divorce
757,Trouble with the Curve,87825,robertlorenz clinteastwood amyadams justintimberlake johngoodman matthewlillard drama romance women baseball pitcher homerun aging sport talent-scout cigarsmoking pooreyesight bostonredsox draft motelroom baseballscout failingeyesight blurryvision blurredsight
758,Edge of Darkness,12201,martincampbell melgibson raywinstone dannyhuston shawnroberts deniso'hare crime drama mystery thriller murder violence deathofdaughter homicidedetective
759,The Relic,11015,peterhyams penelopeannmiller tomsizemore lindahunt jameswhitmore claytonrohner horror mystery thriller chicago basedonnovel monster museum pileofdeadbodies god deadbody anthropologist indiantribe amazonjungle
760,Analyze That,9932,haroldramis robertdeniro billycrystal lisakudrow joeviterelli cathymoriarty comedy crime prison gold therapist gangster
761,Righteous Kill,13389,jonavnet robertdeniro carlagugino 50cent alpacino donniewahlberg action crime drama thriller revenge murder plottwist dirtycop
762,Mercury Rising,8838,haroldbecker brucewillis alecbaldwin mikohughes chimcbride kimdickens action crime drama thriller assassin lossoffamily autism fbi bangkok nationalsecurityagency(nsa) boy childinperil fbiagent autisticsavant
763,The Soloist,17332,joewright robertdowneyjr. jamiefoxx catherinekeener nelsanellis michaelbunin drama newspaper cello musical violin losangeles
764,The Legend of Bagger Vance,4958,robertredford mattdamon brucemcgill charlizetheron willsmith joelgretsch fantasy drama competition worldwari greatdepression caddy savannah
765,Almost Famous,786,cameroncrowe katehudson billycrudup francesmcdormand jasonlee patrickfugit drama music hotelroom sandiego drugaddiction stewardess overdose groupie musicjournalist blacksabbath rock concert swimmingpool basedontruestory promiscuity comingofage ontheroad domineeringmother reconciliation semiautobiographical innocencelost bustrip aspiringwriter
766,Garfield: A Tail of Two Kitties,9513,timhill billmurray jenniferlovehewitt billyconnolly ianabercrombie breckinmeyer animation comedy family londonengland cat mistakeinperson luxury wretch nobility garfield
767,xXx: State of the Union,11679,leetamahori icecube samuell.jackson willemdafoe scottspeedman peterstrauss action adventure crime drama mystery thriller washingtond.c. helicopter usapresident general coupd'etat militaryprison coup agent insurgent secretaryofdefense potus
768,Priest,38321,scottstewart paulbettany karlurban camgigandet maggieq lilycollins action sciencefiction fantasy thriller horror vampire crucifixion post-apocalyptic dystopia vampirehunter disobey niece darkhero
769,Sinbad: Legend of the Seven Seas,14411,timjohnson bradpitt catherinezeta-jones michellepfeiffer josephfiennes dennishaysbert family animation adventure prince watermonster
770,Event Horizon,8413,paulw.s.anderson laurencefishburne samneill kathleenquinlan joelyrichardson richardt.jones horror sciencefiction mystery spacemarine nudity nightmare hallucination cryogenics spacetravel blackhole insanity delusion crew alternatedimension evilspirit hellgate religion explosion violence burningman rescueteam flashback supernaturalpower trappedinspace distresssignal derelictship
771,Dragonfly,10052,tomshadyac kevincostner joemorton ronrifkin susannathompson kathybates drama pregnancyandbirth voice dragonfly carcrash jungle hospital doctor humanitarian spiritism
772,The Black Dahlia,9676,briandepalma joshhartnett scarlettjohansson aaroneckhart hilaryswank miakirshner drama pornography observer losangeles murderhunt
773,Flyboys,9664,tonybill jamesfranco davidellison jeanreno philipwinchester abdulsalis action adventure drama history romance war worldwari biplane
774,The Last Castle,2100,rodlurie robertredford jamesgandolfini markruffalo steveburton delroylindo action drama thriller prison general
775,Supernova,10384,walterhill jamesspader angelabassett robertforster loudiamondphillips peterfacinelli horror sciencefiction thriller blackpeople starships future star supernova blast
776,Winter's Tale,137321,akivagoldsman colinfarrell jessicabrownfindlay russellcrowe williamhurt jenniferconnelly drama fantasy mystery romance basedonnovel
777,The Mortal Instruments: City of Bones,123553,haraldzwart lilycollins jamiecampbellbower kevinzegers jemimawest robertsheehan action adventure drama mystery romance fantasy angel vampire werewolf warlock downworlder shadowhunter demonhunter basedonyoungadultnovel
778,Meet Dave,11260,brianrobbins eddiemurphy elizabethbanks gabrielleunion scottcaan edhelms comedy sciencefiction adventure family newyork captain starships newlove earth friendship crew carcrash space alien survival planet duringcreditsstinger
779,Dark Water,9009,"waltersalles jenniferconnelly johnc.reilly timroth dougrayscott petepostlethwaite drama horror thriller basedonnovel water remake teacher divorce apartment ghost manhattan,newyorkcity"
780,Edtv,11374,ronhoward matthewmcconaughey woodyharrelson sallykirkland jennaelfman martinlandau comedy tvshow tvstation simulatedreality realitytv tvstar tvratings
781,Inkheart,2309,iainsoftley brendanfraser siennaguillory andyserkis elizabennett paulbettany adventure family fantasy book fairytale eavesdropping adventure writer'sblock
782,The Spirit,8285,frankmiller gabrielmacht scarlettjohansson samuell.jackson evamendes pazvega action comedy thriller crime sciencefiction secretidentity robber mask frog basedoncomicstrip backfromthedead
783,Mortdecai,210860,davidkoepp johnnydepp gwynethpaltrow ewanmcgregor paulbettany oliviamunn comedy adventure basedonnovel painting debt artdealer stolenpainting
784,In the Name of the King: A Dungeon Siege Tale,2312,uweboll jasonstatham johnrhys-davies rayliotta leeleesobieski burtreynolds adventure fantasy action drama fictionalplace monster lossoffamily newlove hero loveofone'slife magic fairytale villain kingdom enchantment badpower son heirtothethrone motherlylove wizardry revenge royalty family basedonvideogame medieval
785,Beyond Borders,9839,martincampbell angelinajolie cliveowen teripolo linusroache noahemmerich drama romance adventure war londonengland cia landmine loveofone'slife cambodia ethiopia chechnya foreignaid
786,The Monkey King 2,381902,soicheang aaronkwok gongli williamfeng xiaoshenyang himlaw action adventure fantasy monkeyking
787,The Great Raid,13922,johndahl benjaminbratt jamesfranco connienielsen martoncsokas josephfiennes action history war basedonnovel worldwarii prisonersofwar narration archivefootage rescuemission soldier 1940s inspiredbytrueevents fictionalizedhistory
788,Deadpool,293660,timmiller ryanreynolds morenabaccarin edskrein t.j.miller ginacarano action adventure comedy antihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealing
790,American Sniper,190859,clinteastwood bradleycooper siennamiller kylegallner colekonis benreed war action sniper biography iraq navyseal u.s.soldier
791,Goosebumps,257445,robletterman jackblack dylanminnette odeyarush amyryan jillianbell adventure horror comedy basedonnovel magic fantasy werewolf family ventriloquistdummy bookcomestolife 3d
792,Just Like Heaven,9007,markwaters reesewitherspoon markruffalo donallogue dinaspybey-waters benshenkman comedy fantasy romance coma basedonnovel workaholic flirt architect romanticcomedy ghost landscapearchitect
793,The Flintstones in Viva Rock Vegas,889,brianlevant markaddy stephenbaldwin kristenjohnston janekrakowski joancollins sciencefiction comedy family romance waitress marriageproposal flirt stoneage bestfriend dinosaur
